Site,Compound,Mean,Median,Std Dev,Max,Min,95th Percentile,Skewness,Kurtosis,Missing Values (%)
Beaumont Downtown,Ethane,13.215264453304707,6.6103,22.500660277669386,200.0,0.441,47.0966,5.062955062950929,31.535199991346058,0.0
Beaumont Downtown,Ethylene,2.462729266983591,0.60445,6.1034679506675715,151.37105,0.0,10.92845,7.629304643028865,102.51818150588446,0.0
Beaumont Downtown,Propane,4.3193385109645765,2.69447,8.496431055089808,200.0,0.0,11.91173,16.137983240854833,349.58719930615575,0.0
Beaumont Downtown,Propylene,0.495897256555743,0.3502,0.6777595629762593,40.75483,0.0174,1.1971,34.19357340450426,1926.9077004823778,0.0
Beaumont Downtown,Acetylene,0.3592680340438583,0.28115,0.3979303193222649,9.1325,0.0,0.9033,8.027078501326118,122.2576233973054,0.0
Beaumont Downtown,n-Butane,2.5921596426928386,1.46788,4.794692265879753,200.0,0.0724,8.12968,17.16270664393454,541.1854662320486,0.0
Beaumont Downtown,Isobutane,1.28840197209017,0.7575,2.692650505390007,127.24783,0.043,3.8069,22.956424110032525,857.0182916841457,0.0
Beaumont Downtown,trans-2-Butene,0.09120607422174512,0.084,0.07670377589939062,4.87123,0.02205,0.15215,39.302207419778284,2333.75218638259,0.0
Beaumont Downtown,cis-2-Butene,0.0376438828400552,0.02665,0.057417170626151995,3.45253,0.0,0.09115,34.72098876140565,1940.4477707377303,0.0
Beaumont Downtown,"1,3-Butadiene",0.058094442570157945,0.02315,0.18386496585559622,5.60155,0.0,0.1805,13.027268669787421,255.33234116375954,0.0
Beaumont Downtown,n-Pentane,1.2056583404907977,0.5763199999999999,2.3542901333714856,56.6801,0.0419,3.943031999999996,8.864210650588607,123.37095037142107,0.0
Beaumont Downtown,Isopentane,1.699217561723662,0.82992,3.197422648997542,67.92208,0.0,5.61742,7.803536294621825,92.81838935504537,0.0
Beaumont Downtown,1-Pentene,0.015803947247354698,0.0,0.07637170954987339,3.70276,0.0,0.0528,30.73175020864781,1276.7612606490914,0.0
Beaumont Downtown,trans-2-Pentene,0.016332139242447478,0.006,0.04503081026074138,1.45108,0.0,0.06106,13.764906796318304,307.2497609706364,0.0
Beaumont Downtown,cis-2-Pentene,0.006463904309155037,0.0,0.0221858732432115,0.72456,0.0,0.0285,14.577289633119241,357.2902097808408,0.0
Beaumont Downtown,n-Hexane,0.35946775926201463,0.1825,0.637643149308201,15.17517,0.0,1.19845,7.739925594358311,102.36151525647364,0.0
Beaumont Downtown,n-Heptane,0.08867662648809524,0.04456,0.17577251976349123,3.73403,0.0,0.29346399999999995,9.284579691943035,135.62749431646594,0.0
Beaumont Downtown,n-Octane,0.04593695982142857,0.023485,0.0809324411057469,2.33676,0.0,0.15831349999999997,8.19884743809307,141.2982787451493,0.0
Beaumont Downtown,n-Nonane,0.021465632440476192,0.011505,0.040474890638702556,1.5453,0.0,0.07340849999999988,12.15335120858337,335.70527320340346,0.0
Beaumont Downtown,n-Decane,0.023699570828331334,0.01736,0.021686653413351593,0.46911,0.0,0.056818499999999994,6.425264936185386,74.70982887405458,0.0
Beaumont Downtown,Cyclopentane,0.08763730409446403,0.04816,0.13157621723220306,3.07952,0.0,0.28646,6.456130541750678,77.07116692312307,0.0
Beaumont Downtown,Isoprene,0.1965259592087103,0.0457,0.3141793962423285,5.33144,0.0,0.8571,3.209826184320909,23.627165136292057,0.0
Beaumont Downtown,"2,2-Dimethylbutane",0.0395337432909063,0.02337,0.05944521795088278,1.62387,0.0,0.12265,7.277790979293981,109.20505004335531,0.0
Beaumont Downtown,"2,4-Dimethylpentane",0.002617065476190476,0.0,0.028854646765056398,1.00563,0.0,0.0,18.239399774607314,439.21479835554464,0.0
Beaumont Downtown,Cyclohexane,0.14512554166666666,0.071575,0.2534026192244865,7.80518,0.0,0.5185024999999998,8.495025097678214,159.8502914555277,0.0
Beaumont Downtown,3-Methylhexane,0.06569325297619048,0.033595,0.12684326259239231,2.55109,0.0,0.22293649999999945,7.983374127419937,99.90884080153988,0.0
Beaumont Downtown,"2,2,4-Trimethylpentane",0.07045572172619047,0.03976,0.11591156211955703,3.05179,0.0,0.2354924999999998,7.67699393236545,116.00382088888485,0.0
Beaumont Downtown,"2,3,4-Trimethylpentane",0.013023705357142855,0.0,0.031713252078976496,0.98128,0.0,0.050237499999999886,11.03054194941118,219.2030783470761,0.0
Beaumont Downtown,3-Methylheptane,0.020333714285714285,0.008705000000000001,0.03924547809833705,0.81468,0.0,0.07496149999999997,6.425192702092811,70.83985496383333,0.0
Beaumont Downtown,Methylcyclohexane,0.1372543869047619,0.06337999999999999,0.248914228462481,7.82069,0.0,0.4955244999999998,8.975184537984502,174.6102156046041,0.0
Beaumont Downtown,Methylcyclopentane,0.1656789092261905,0.08005,0.2835930269061001,6.93225,0.0,0.5972824999999998,6.768956042191324,86.46002256680535,0.0
Beaumont Downtown,2-Methylhexane,0.038918325892857146,0.01517,0.07764149925956385,1.75091,0.0,0.1497905,6.668533828378874,77.62194283003176,0.0
Beaumont Downtown,1-Butene,0.07236331390890968,0.05053,0.2266716659602277,15.7387,0.0,0.1562,54.06387961644698,3558.121476437357,0.0
Beaumont Downtown,"2,3-Dimethylpentane",0.02459050892857143,0.0,0.06453926116604394,1.27953,0.0,0.12021499999999978,6.485356780777492,69.63638507792643,0.0
Beaumont Downtown,2-Methylheptane,0.022584232142857142,0.00939,0.047765483059487794,0.78688,0.0,0.08409799999999974,6.589952451920211,63.1760074783588,0.0
Beaumont Downtown,m/p Xylene,0.12926170089285713,0.059355000000000005,0.27630737053533955,8.7604,0.0,0.44591,12.34776916869043,258.7826161901172,0.0
Beaumont Downtown,Benzene,0.13256602529761904,0.084725,0.19202315064163225,5.07473,0.0,0.384947499999999,9.168864348740566,160.3461450276119,0.0
Beaumont Downtown,Toluene,0.21650612053571427,0.12414,0.36989755548812303,8.26734,0.0,0.649226999999999,8.747341588500474,115.89107972964473,0.0
Beaumont Downtown,Ethylbenzene,0.03565496577380953,0.017585,0.07091517006353065,1.73938,0.0,0.1260005,9.12594337846684,132.6944415126729,0.0
Beaumont Downtown,o-Xylene,0.04107753273809524,0.018744999999999998,0.09352243722013824,3.022,0.0,0.14481799999999959,13.301282789296529,288.07978087489835,0.0
Beaumont Downtown,"1,3,5-Trimethylbenzene",0.010823861623893141,0.00551,0.026013869372334197,0.87243,0.0,0.03855799999999999,13.835820333606646,333.91438246950116,0.0
Beaumont Downtown,"1,2,4-Trimethylbenzene",0.04186147206576344,0.02826,0.06166554723147321,1.88923,0.0,0.11406999999999992,11.335371627343712,225.7706164316324,0.0
Beaumont Downtown,n-Propylbenzene,0.00925203869047619,0.00649,0.014956877352124608,0.34596,0.0,0.029041499999999977,8.269538465726413,135.88235561083883,0.0
Beaumont Downtown,Isopropylbenzene,0.0029883303571428574,0.0,0.014101930224509836,0.5333,0.0,0.013671499999999979,20.057584635601966,579.7162385993067,0.0
Beaumont Downtown,Styrene,0.011035845238095237,0.0,0.023011140214776016,0.39579,0.0,0.04305299999999995,5.562510711004159,50.65700451836507,0.0
Beaumont Downtown,"1,2,3-Trimethylbenzene",0.05454896627419677,0.03107,0.07031972322684199,1.6949,0.0,0.174945,5.966913911027092,82.68170064651817,0.0
Nederland 17th Street,Ethane,6.635674709185721,3.80805,9.704336582798904,182.99805,0.2629,20.942394999999955,5.590741434398897,52.811376577557006,0.0
Nederland 17th Street,Ethylene,0.4745621406605161,0.16295,1.0928954448348738,26.0936,0.0,1.9493649999999956,7.845504345297214,100.73151569411324,0.0
Nederland 17th Street,Propane,4.996957832597941,2.00937,9.88521625137116,180.8366,0.0,19.13804699999997,5.973991495890784,53.52925977057812,0.0
Nederland 17th Street,Propylene,0.29687732851985565,0.1549,0.413791827925314,10.24263,0.0,1.0162099999999972,5.440356155277214,67.38118174882402,0.0
Nederland 17th Street,n-Butane,4.050167356598475,1.3373,8.730023399656256,178.1205,0.06433,17.096506999999978,6.523608130721719,67.2035759599186,0.0
Nederland 17th Street,Isobutane,1.6533389437090522,0.6525,3.121285953165511,54.2115,0.0,6.677084999999999,5.788426118972734,52.53157844541539,0.0
Nederland 17th Street,trans-2-Butene,0.03198737531755583,0.0265,0.023098902105233663,0.5153,0.0,0.06863199999999998,5.083834053679888,52.166542215551196,0.0
Nederland 17th Street,cis-2-Butene,0.0160823733119401,0.0,0.031128967100143436,0.6302,0.0,0.06108999999999995,6.012426956041068,64.56452200759513,0.0
Nederland 17th Street,"1,3-Butadiene",0.07081190266078352,0.02403,0.25474701038576447,7.62238,0.0,0.26074699999999995,13.167366714884606,260.89500423791674,0.0
Nederland 17th Street,n-Pentane,1.9793521460088248,0.52838,5.001135270092398,141.57886,0.034,8.331596,8.610184359332635,133.12935798370552,0.0
Nederland 17th Street,Isopentane,2.3230543334670406,0.75542,5.189640492550841,105.94682,0.0,8.913843999999992,7.32522028348639,83.36246764824872,0.0
Nederland 17th Street,1-Pentene,0.013110854392298435,0.0,0.06073280569265243,2.6802,0.0,0.047025999999999964,21.199801381883262,673.1876059923164,0.0
Nederland 17th Street,trans-2-Pentene,0.009418959753977805,0.0,0.02139742775827549,0.42268,0.0,0.042141999999999985,6.248411330112877,69.19416947750757,0.0
Nederland 17th Street,cis-2-Pentene,0.0035513116726835136,0.0,0.012656865209812192,0.28168,0.0,0.022481999999999988,7.876739999395779,102.38597851845945,0.0
Nederland 17th Street,n-Hexane,0.5156044555112882,0.17865,1.0087175716186398,18.01965,0.0,2.1001454999999982,5.208315891362218,40.17068956408502,0.0
Nederland 17th Street,n-Heptane,0.161955588313413,0.06690499999999999,0.3128935314135318,10.05049,0.0,0.6172399999999996,8.643608070379386,165.50441765938245,0.0
Nederland 17th Street,n-Octane,0.07844245019920319,0.03165,0.14805847029447144,2.9829,0.0,0.30635749999999995,6.212859693098155,64.29611302389942,0.0
Nederland 17th Street,n-Nonane,0.0382546015936255,0.01614,0.07470716867909036,1.9731,0.0,0.14640699999999973,7.798646968825756,113.69842486643063,0.0
Nederland 17th Street,n-Decane,0.022949602921646745,0.01184,0.05028821548663221,3.17133,0.0,0.08067299999999995,34.17618847661064,2047.560139767251,0.0
Nederland 17th Street,Cyclopentane,0.12023538975798903,0.05,0.24566037852213854,10.38498,0.0,0.43720399999999937,13.576771432089972,436.71635929743775,0.0
Nederland 17th Street,Isoprene,0.48431115122342566,0.0459,0.9212463017391666,5.85756,0.0,2.7177239999999947,2.5513646044308778,6.494197776336911,0.0
Nederland 17th Street,"2,2-Dimethylbutane",0.03010746089049338,0.01308,0.06448178558535983,1.41713,0.0,0.11995999999999978,6.813306069536358,76.84636793242282,0.0
Nederland 17th Street,Cyclohexane,0.16988843691899072,0.07027,0.2898065500376428,3.76545,0.0,0.6562144999999987,4.3992310859838115,27.611530491523823,0.0
Nederland 17th Street,3-Methylhexane,0.10541963081009295,0.052555000000000004,0.18444206909382213,7.43876,0.0,0.3650184999999998,11.959289873354098,357.08805174314807,0.0
Nederland 17th Street,"2,2,4-Trimethylpentane",0.08213667596281542,0.0421,0.1228698012155564,1.81421,0.0,0.28562649999999995,4.501517178120477,29.935208922023254,0.0
Nederland 17th Street,"2,3,4-Trimethylpentane",0.014866053120849933,0.01059,0.021924137332063495,0.32738,0.0,0.05052799999999974,4.698134368171226,38.11979649925097,0.0
Nederland 17th Street,3-Methylheptane,0.033926707835325365,0.01697,0.05572810718754258,0.75214,0.0,0.12591199999999997,4.358455841850889,26.365002053541872,0.0
Nederland 17th Street,Methylcyclohexane,0.16462937848605577,0.06407,0.297932681859468,4.77039,0.0,0.6499814999999999,5.195598672185827,40.67650684603275,0.0
Nederland 17th Street,2-Methylhexane,0.07982641965471447,0.037004999999999996,0.13556601246925487,3.31214,0.0,0.29083749999999997,5.870450330739142,67.9245241765451,0.0
Nederland 17th Street,1-Butene,0.07182079689798102,0.0587,0.05344540149867625,1.05938,0.0,0.15447499999999975,5.6074794523522336,62.13770373503922,0.0
Nederland 17th Street,"2,3-Dimethylpentane",0.03364619389110226,0.014585,0.06083292723481715,1.37451,0.0,0.13187749999999981,5.032663023675041,51.42497880658816,0.0
Nederland 17th Street,2-Methylheptane,0.042493399734395754,0.02061,0.07415078716246529,1.35078,0.0,0.16450949999999992,5.409744716635078,46.36789956195493,0.0
Nederland 17th Street,m/p Xylene,0.1159388338892595,0.06706,0.14351877116478207,1.51196,0.00479,0.3828399999999996,3.791933759027921,18.902094493151598,0.0
Nederland 17th Street,Benzene,0.19560120185922975,0.14032,0.24893326073028402,8.91737,0.0,0.5266934999999996,16.174151107139746,478.5034797288492,0.0
Nederland 17th Street,Toluene,0.2690029614873838,0.1689,0.29070592529320577,4.04347,0.05331,0.8296774999999998,3.727955430892897,19.905465910819633,0.0
Nederland 17th Street,Ethylbenzene,0.04211129747675963,0.02446,0.05190844084542777,0.5606,0.0,0.1358459999999999,3.842103992130592,19.366793267288283,0.0
Nederland 17th Street,o-Xylene,0.04165588446215139,0.0237,0.05294827690463158,0.58704,0.0,0.1392779999999999,3.884951753764964,20.295113104470218,0.0
Nederland 17th Street,"1,3,5-Trimethylbenzene",0.01418679017264276,0.00781,0.024638896054150435,1.15928,0.0,0.05059749999999996,15.677107405051407,629.2218968869324,0.0
Nederland 17th Street,"1,2,4-Trimethylbenzene",0.05127133057520353,0.03771,0.04986275310036293,1.31843,0.0,0.14004999999999995,5.359929439800314,71.1140014197172,0.0
Nederland 17th Street,n-Propylbenzene,0.018056905937291527,0.01491,0.0173855993302239,0.76744,0.0,0.04331199999999997,12.702958894945157,468.896068020571,0.0
Nederland 17th Street,Isopropylbenzene,0.005667576361221779,0.00284,0.009439151770298382,0.35102,0.0,0.02176,9.354835436167274,253.59718489188754,0.0
Nederland 17th Street,Styrene,0.030741084993359893,0.01596,0.07388898370983243,1.57088,0.0,0.08609349999999973,9.591067430019066,125.4745502735523,0.0
